Postcode,Postcode Status,LSOA Code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Income Score,Employment Rank,Employment Decile,Employment Score,Education and Skills Rank,Education and Skills Decile,Health and Disability Rank,Health and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing & Services Rank,Barriers to Housing & Services Decile,Living Environment Rank,Living Environment Decile,IDACI Rank,IDACI Decile,IDACI Score,IDAOPI Rank,IDAOPI Decile,IDAOPI Score
S10 1AS,Terminated,E01007961,Sheffield 033D E01007961,31007,10,28972,9,0.045,30038,10,0.041,29974,10,27485,9,15124,5,31378,10,24168,8,28508,9,0.05,24644,8,0.088
S10 1AT,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
S10 1AU,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
S10 1AW,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
S10 1AX,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
S10 1AY,Terminated,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1BA,Live,E01008067,Sheffield 030D E01008067,12883,4,26458,9,0.056,29843,10,0.042,20937,7,3564,2,1996,1,4725,2,9273,3,17849,6,0.132,6518,2,0.286
S10 1BB,Live,E01007867,Sheffield 030B E01007867,21794,7,29487,9,0.043,31903,10,0.03,29117,9,15426,5,16744,6,5684,2,5755,2,23749,8,0.081,8498,3,0.248
S10 1BD,Live,E01008067,Sheffield 030D E01008067,12883,4,26458,9,0.056,29843,10,0.042,20937,7,3564,2,1996,1,4725,2,9273,3,17849,6,0.132,6518,2,0.286
S10 1BE,Live,E01008067,Sheffield 030D E01008067,12883,4,26458,9,0.056,29843,10,0.042,20937,7,3564,2,1996,1,4725,2,9273,3,17849,6,0.132,6518,2,0.286
S10 1BF,Terminated,E01008067,Sheffield 030D E01008067,12883,4,26458,9,0.056,29843,10,0.042,20937,7,3564,2,1996,1,4725,2,9273,3,17849,6,0.132,6518,2,0.286
S10 1BG,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1BH,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1BJ,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1BL,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1BN,Live,E01007867,Sheffield 030B E01007867,21794,7,29487,9,0.043,31903,10,0.03,29117,9,15426,5,16744,6,5684,2,5755,2,23749,8,0.081,8498,3,0.248
S10 1BP,Live,E01007867,Sheffield 030B E01007867,21794,7,29487,9,0.043,31903,10,0.03,29117,9,15426,5,16744,6,5684,2,5755,2,23749,8,0.081,8498,3,0.248
S10 1BQ,Live,E01007961,Sheffield 033D E01007961,31007,10,28972,9,0.045,30038,10,0.041,29974,10,27485,9,15124,5,31378,10,24168,8,28508,9,0.05,24644,8,0.088
S10 1BR,Terminated,E01007867,Sheffield 030B E01007867,21794,7,29487,9,0.043,31903,10,0.03,29117,9,15426,5,16744,6,5684,2,5755,2,23749,8,0.081,8498,3,0.248
S10 1BS,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1BT,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1BU,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1BW,Terminated,E01007867,Sheffield 030B E01007867,21794,7,29487,9,0.043,31903,10,0.03,29117,9,15426,5,16744,6,5684,2,5755,2,23749,8,0.081,8498,3,0.248
S10 1BX,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1BY,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1BZ,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1DA,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1DB,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1DD,Terminated,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1DE,Terminated,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1DF,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1DG,Live,E01008066,Sheffield 028B E01008066,23720,8,30719,10,0.036,32425,10,0.023,29323,9,16252,5,11705,4,7256,3,11392,4,31460,10,0.029,9169,3,0.238
S10 1DH,Live,E01008067,Sheffield 030D E01008067,12883,4,26458,9,0.056,29843,10,0.042,20937,7,3564,2,1996,1,4725,2,9273,3,17849,6,0.132,6518,2,0.286
S10 1DJ,Live,E01008067,Sheffield 030D E01008067,12883,4,26458,9,0.056,29843,10,0.042,20937,7,3564,2,1996,1,4725,2,9273,3,17849,6,0.132,6518,2,0.286
S10 1DN,Terminated,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1DP,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
S10 1DQ,Terminated,E01008067,Sheffield 030D E01008067,12883,4,26458,9,0.056,29843,10,0.042,20937,7,3564,2,1996,1,4725,2,9273,3,17849,6,0.132,6518,2,0.286
S10 1DS,Terminated,E01007961,Sheffield 033D E01007961,31007,10,28972,9,0.045,30038,10,0.041,29974,10,27485,9,15124,5,31378,10,24168,8,28508,9,0.05,24644,8,0.088
S10 1DU,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
S10 1DW,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
S10 1DX,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
S10 1DY,Live,E01008066,Sheffield 028B E01008066,23720,8,30719,10,0.036,32425,10,0.023,29323,9,16252,5,11705,4,7256,3,11392,4,31460,10,0.029,9169,3,0.238
S10 1DZ,Terminated,E01007858,Sheffield 038A E01007858,23438,8,21822,7,0.079,20234,7,0.079,31499,10,17723,6,14377,5,15805,5,22239,7,21643,7,0.097,26105,8,0.08
S10 1EA,Live,E01008066,Sheffield 028B E01008066,23720,8,30719,10,0.036,32425,10,0.023,29323,9,16252,5,11705,4,7256,3,11392,4,31460,10,0.029,9169,3,0.238
S10 1EB,Live,E01008066,Sheffield 028B E01008066,23720,8,30719,10,0.036,32425,10,0.023,29323,9,16252,5,11705,4,7256,3,11392,4,31460,10,0.029,9169,3,0.238
S10 1ED,Live,E01008066,Sheffield 028B E01008066,23720,8,30719,10,0.036,32425,10,0.023,29323,9,16252,5,11705,4,7256,3,11392,4,31460,10,0.029,9169,3,0.238
S10 1EE,Live,E01008066,Sheffield 028B E01008066,23720,8,30719,10,0.036,32425,10,0.023,29323,9,16252,5,11705,4,7256,3,11392,4,31460,10,0.029,9169,3,0.238
S10 1EF,Live,E01008066,Sheffield 028B E01008066,23720,8,30719,10,0.036,32425,10,0.023,29323,9,16252,5,11705,4,7256,3,11392,4,31460,10,0.029,9169,3,0.238
S10 1EG,Live,E01008066,Sheffield 028B E01008066,23720,8,30719,10,0.036,32425,10,0.023,29323,9,16252,5,11705,4,7256,3,11392,4,31460,10,0.029,9169,3,0.238
S10 1EH,Live,E01008067,Sheffield 030D E01008067,12883,4,26458,9,0.056,29843,10,0.042,20937,7,3564,2,1996,1,4725,2,9273,3,17849,6,0.132,6518,2,0.286
S10 1EJ,Live,E01008066,Sheffield 028B E01008066,23720,8,30719,10,0.036,32425,10,0.023,29323,9,16252,5,11705,4,7256,3,11392,4,31460,10,0.029,9169,3,0.238
S10 1EL,Live,E01008067,Sheffield 030D E01008067,12883,4,26458,9,0.056,29843,10,0.042,20937,7,3564,2,1996,1,4725,2,9273,3,17849,6,0.132,6518,2,0.286
S10 1EN,Live,E01008067,Sheffield 030D E01008067,12883,4,26458,9,0.056,29843,10,0.042,20937,7,3564,2,1996,1,4725,2,9273,3,17849,6,0.132,6518,2,0.286
S10 1EP,Live,E01008067,Sheffield 030D E01008067,12883,4,26458,9,0.056,29843,10,0.042,20937,7,3564,2,1996,1,4725,2,9273,3,17849,6,0.132,6518,2,0.286
S10 1EQ,Live,E01008067,Sheffield 030D E01008067,12883,4,26458,9,0.056,29843,10,0.042,20937,7,3564,2,1996,1,4725,2,9273,3,17849,6,0.132,6518,2,0.286
S10 1ER,Live,E01008066,Sheffield 028B E01008066,23720,8,30719,10,0.036,32425,10,0.023,29323,9,16252,5,11705,4,7256,3,11392,4,31460,10,0.029,9169,3,0.238
S10 1ES,Live,E01008066,Sheffield 028B E01008066,23720,8,30719,10,0.036,32425,10,0.023,29323,9,16252,5,11705,4,7256,3,11392,4,31460,10,0.029,9169,3,0.238
S10 1ET,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1EU,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1EW,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1EX,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1EY,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1EZ,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1FA,Live,E01007867,Sheffield 030B E01007867,21794,7,29487,9,0.043,31903,10,0.03,29117,9,15426,5,16744,6,5684,2,5755,2,23749,8,0.081,8498,3,0.248
S10 1FB,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1FD,Live,E01007962,Sheffield 029C E01007962,19414,6,18985,6,0.096,21465,7,0.074,29861,10,6414,2,22422,7,17822,6,12795,4,20396,7,0.108,8096,3,0.255
S10 1FE,Live,E01007962,Sheffield 029C E01007962,19414,6,18985,6,0.096,21465,7,0.074,29861,10,6414,2,22422,7,17822,6,12795,4,20396,7,0.108,8096,3,0.255
S10 1FF,Live,E01007962,Sheffield 029C E01007962,19414,6,18985,6,0.096,21465,7,0.074,29861,10,6414,2,22422,7,17822,6,12795,4,20396,7,0.108,8096,3,0.255
S10 1FG,Live,E01007962,Sheffield 029C E01007962,19414,6,18985,6,0.096,21465,7,0.074,29861,10,6414,2,22422,7,17822,6,12795,4,20396,7,0.108,8096,3,0.255
S10 1FH,Live,E01007962,Sheffield 029C E01007962,19414,6,18985,6,0.096,21465,7,0.074,29861,10,6414,2,22422,7,17822,6,12795,4,20396,7,0.108,8096,3,0.255
S10 1FJ,Live,E01007962,Sheffield 029C E01007962,19414,6,18985,6,0.096,21465,7,0.074,29861,10,6414,2,22422,7,17822,6,12795,4,20396,7,0.108,8096,3,0.255
S10 1FL,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1FN,Terminated,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1FP,Terminated,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1FQ,Terminated,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1FR,Terminated,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1FS,Terminated,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1FT,Terminated,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1FW,Terminated,E01007961,Sheffield 033D E01007961,31007,10,28972,9,0.045,30038,10,0.041,29974,10,27485,9,15124,5,31378,10,24168,8,28508,9,0.05,24644,8,0.088
S10 1FX,Terminated,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1FY,Terminated,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1FZ,Terminated,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1GA,Live,E01008066,Sheffield 028B E01008066,23720,8,30719,10,0.036,32425,10,0.023,29323,9,16252,5,11705,4,7256,3,11392,4,31460,10,0.029,9169,3,0.238
S10 1GB,Live,E01008066,Sheffield 028B E01008066,23720,8,30719,10,0.036,32425,10,0.023,29323,9,16252,5,11705,4,7256,3,11392,4,31460,10,0.029,9169,3,0.238
S10 1GD,Live,E01008066,Sheffield 028B E01008066,23720,8,30719,10,0.036,32425,10,0.023,29323,9,16252,5,11705,4,7256,3,11392,4,31460,10,0.029,9169,3,0.238
S10 1GE,Live,E01008066,Sheffield 028B E01008066,23720,8,30719,10,0.036,32425,10,0.023,29323,9,16252,5,11705,4,7256,3,11392,4,31460,10,0.029,9169,3,0.238
S10 1GF,Live,E01008066,Sheffield 028B E01008066,23720,8,30719,10,0.036,32425,10,0.023,29323,9,16252,5,11705,4,7256,3,11392,4,31460,10,0.029,9169,3,0.238
S10 1GG,Live,E01008066,Sheffield 028B E01008066,23720,8,30719,10,0.036,32425,10,0.023,29323,9,16252,5,11705,4,7256,3,11392,4,31460,10,0.029,9169,3,0.238
S10 1GH,Terminated,E01008050,Sheffield 046E E01008050,25957,8,26950,9,0.054,26914,9,0.053,29860,10,20846,7,19235,6,23993,8,7283,3,29323,9,0.045,17067,6,0.144
S10 1GJ,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1GL,Live,E01008069,Sheffield 028C E01008069,26912,9,29964,10,0.04,32203,10,0.027,30221,10,17425,6,20807,7,13688,5,10836,4,25458,8,0.069,13545,5,0.18
S10 1GN,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1GP,Live,E01008069,Sheffield 028C E01008069,26912,9,29964,10,0.04,32203,10,0.027,30221,10,17425,6,20807,7,13688,5,10836,4,25458,8,0.069,13545,5,0.18
S10 1GQ,Live,E01007962,Sheffield 029C E01007962,19414,6,18985,6,0.096,21465,7,0.074,29861,10,6414,2,22422,7,17822,6,12795,4,20396,7,0.108,8096,3,0.255
S10 1GR,Live,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1GS,Live,E01008069,Sheffield 028C E01008069,26912,9,29964,10,0.04,32203,10,0.027,30221,10,17425,6,20807,7,13688,5,10836,4,25458,8,0.069,13545,5,0.18
S10 1GT,Live,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1GU,Live,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1GW,Live,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1GX,Live,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1GY,Live,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1GZ,Live,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1HA,Live,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1HB,Live,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1HD,Live,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1HE,Live,E01008069,Sheffield 028C E01008069,26912,9,29964,10,0.04,32203,10,0.027,30221,10,17425,6,20807,7,13688,5,10836,4,25458,8,0.069,13545,5,0.18
S10 1HF,Live,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1HG,Live,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1HH,Live,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1HJ,Live,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1HL,Live,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1HN,Live,E01008069,Sheffield 028C E01008069,26912,9,29964,10,0.04,32203,10,0.027,30221,10,17425,6,20807,7,13688,5,10836,4,25458,8,0.069,13545,5,0.18
S10 1HP,Live,E01008069,Sheffield 028C E01008069,26912,9,29964,10,0.04,32203,10,0.027,30221,10,17425,6,20807,7,13688,5,10836,4,25458,8,0.069,13545,5,0.18
S10 1HQ,Live,E01008069,Sheffield 028C E01008069,26912,9,29964,10,0.04,32203,10,0.027,30221,10,17425,6,20807,7,13688,5,10836,4,25458,8,0.069,13545,5,0.18
S10 1HR,Live,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1HS,Live,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1HT,Live,E01008074,Sheffield 028D E01008074,27442,9,26373,9,0.057,31420,10,0.033,29007,9,19426,6,21790,7,22959,7,9950,4,17128,6,0.14,21059,7,0.111
S10 1HU,Live,E01008069,Sheffield 028C E01008069,26912,9,29964,10,0.04,32203,10,0.027,30221,10,17425,6,20807,7,13688,5,10836,4,25458,8,0.069,13545,5,0.18
S10 1HW,Terminated,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1JA,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1JB,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1JD,Live,E01007866,Sheffield 030A E01007866,26148,8,30633,10,0.036,32006,10,0.028,32689,10,15629,5,19095,6,9225,3,13118,4,31586,10,0.028,14228,5,0.172
S10 1JY,Terminated,E01007961,Sheffield 033D E01007961,31007,10,28972,9,0.045,30038,10,0.041,29974,10,27485,9,15124,5,31378,10,24168,8,28508,9,0.05,24644,8,0.088
S10 1JZ,Terminated,E01007961,Sheffield 033D E01007961,31007,10,28972,9,0.045,30038,10,0.041,29974,10,27485,9,15124,5,31378,10,24168,8,28508,9,0.05,24644,8,0.088
S10 1LA,Live,E01008069,Sheffield 028C E01008069,26912,9,29964,10,0.04,32203,10,0.027,30221,10,17425,6,20807,7,13688,5,10836,4,25458,8,0.069,13545,5,0.18
S10 1LB,Live,E01008069,Sheffield 028C E01008069,26912,9,29964,10,0.04,32203,10,0.027,30221,10,17425,6,20807,7,13688,5,10836,4,25458,8,0.069,13545,5,0.18
S10 1LD,Live,E01008064,Sheffield 028A E01008064,27763,9,28390,9,0.048,30178,10,0.04,21825,7,22773,7,20857,7,17638,6,17044,6,23686,8,0.081,14709,5,0.167
S10 1LE,Live,E01008074,Sheffield 028D E01008074,27442,9,26373,9,0.057,31420,10,0.033,29007,9,19426,6,21790,7,22959,7,9950,4,17128,6,0.14,21059,7,0.111
S10 1LF,Live,E01008074,Sheffield 028D E01008074,27442,9,26373,9,0.057,31420,10,0.033,29007,9,19426,6,21790,7,22959,7,9950,4,17128,6,0.14,21059,7,0.111
